num_filters,dropout,batch_size,epochs,accuracy,train_time
10,0.1,32,5,0.8919,54.62794351577759
10,0.1,32,10,0.8981,134.50317406654358
10,0.1,64,5,0.8922,54.41690254211426
10,0.1,64,10,0.9007,113.52718544006348
10,0.1,128,5,0.8745,51.4646782875061
10,0.1,128,10,0.8941,79.17230749130249
10,0.25,32,5,0.8904,61.2154643535614
10,0.25,32,10,0.901,120.48391604423523
10,0.25,64,5,0.8792,48.22769355773926
10,0.25,64,10,0.9012,89.0527172088623
10,0.25,128,5,0.883,37.906320095062256
10,0.25,128,10,0.8895,102.98608040809631
10,0.5,32,5,0.8896,79.32217741012573
10,0.5,32,10,0.8976,135.63733339309692
10,0.5,64,5,0.8767,43.83035469055176
10,0.5,64,10,0.8878,90.24803280830383
10,0.5,128,5,0.8818,38.42641544342041
10,0.5,128,10,0.8763,80.67665100097656
20,0.1,32,5,0.9009,60.01263093948364
20,0.1,32,10,0.9055,116.47542309761047
20,0.1,64,5,0.8947,47.307101249694824
20,0.1,64,10,0.9098,92.13110423088074
20,0.1,128,5,0.8961,37.7390296459198
20,0.1,128,10,0.9062,76.0326566696167
20,0.25,32,5,0.9038,57.84147524833679
20,0.25,32,10,0.9078,113.02394461631775
20,0.25,64,5,0.9022,43.10179591178894
20,0.25,64,10,0.9111,91.23627829551697
20,0.25,128,5,0.895,39.355037450790405
20,0.25,128,10,0.9049,111.01173377037048
20,0.5,32,5,0.8944,75.23965287208557
20,0.5,32,10,0.9106,117.12447881698608
20,0.5,64,5,0.8942,44.432904958724976
20,0.5,64,10,0.9079,127.16954922676086
20,0.5,128,5,0.8954,56.374215602874756
20,0.5,128,10,0.9054,77.16492629051208
40,0.1,32,5,0.9096,57.31844139099121
40,0.1,32,10,0.9126,113.3674545288086
40,0.1,64,5,0.8851,44.2576858997345
40,0.1,64,10,0.9146,89.472647190094
40,0.1,128,5,0.9034,38.98643136024475
40,0.1,128,10,0.9126,102.32388234138489
40,0.25,32,5,0.8973,79.7360999584198
40,0.25,32,10,0.9138,143.06696796417236
40,0.25,64,5,0.9058,60.19849181175232
40,0.25,64,10,0.9134,127.95440888404846
40,0.25,128,5,0.8981,38.3109233379364
40,0.25,128,10,0.9133,79.35922694206238
40,0.5,32,5,0.8995,76.88495659828186
40,0.5,32,10,0.9143,140.6716833114624
40,0.5,64,5,0.8973,64.79570269584656
40,0.5,64,10,0.9115,88.17639970779419
40,0.5,128,5,0.8993,37.6431884765625
40,0.5,128,10,0.9112,90.43139004707336
